Coreomycetopsis oedipus
Corethromyces cryptobii
Corinophoros coralloides
Cormothecium dubenii
Cornicularia tristis
Cornicularia
Cornuntum fagineum
Corollospora maritima
Coronellaria delitschiana
Coronophora gregaria
Coronophorella chaetomioides
Corynascella humicola
Corynascus sepedonium
Corynelia uberata
Coryneliopsis cupulifera
Coryneliella consimilis
Coryneliospora fructicola
Corynella
Corynesphaera militaris
Corynetes purpurascens
Corynophoron colensoi
Coscinaria langloisii
Coscinedia microsporum
Coscinocladium occidentale
Coscinopeltella montalvoae
Coscinopeltis argentinensis
Cosmospora coccinea
Coutinia agaves
Peziza macropus
Craspedon concretum
Crateridium virellum
Craterolechia lanuginosa
Crauatamyces eupatorii
Creangium sydowii
Crebrothecium ashbyi
Creomelanops xanthocephala
Creographa brasiliensis
Creonectria purpurea
Creopus gelatinosus
Creosphaeria riograndensis
Criella austrocaledonica
Crinigera maritima
Criserosphaeria phyllostictoides
Crocicreas gramineum
Crocodia aurata
Lecidea gossypina
Crotone drimydis
Crotonocarpia moriformis
Crouania miniata
Crouaniella murina
Crumenella myricae
Crumenula urceolus
Crumenula urceolus
Crumenulopsis pinicola
Nectria parasitica
Cryptandromyces geniculatus
Cryptella cubicularis
Cryptendoxyla hypophloia
Cryptica lutea
Cryptoascus oligosporus
Cryptocrea brenesii
Cryptoderis lamprotheca
Cryptodiaporthe aesculi
Parmelia holleana
Cryptodidymosphaeria conoidea
Cryptodiscus pallidus
Cryptolechia carneolutea
